cid,cname,email,pass_hash,phone,category,epr_id,address,state,pincode,gmap_link,start_time,end_time,doorstep_coll,latitude,longitude,date_created
11,"M/s. Leela Traders,",leela32@trad.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9380888811,Dismantler,611,"4/34 , Narasingapuram, 3rd St, Maduvinkarai, Guindy, Chennai",Tamil Nadu,600032,https://maps.app.goo.gl/ybNYSy3jgvLDnAyVA,09:00,21:00,Yes,12.99735747,80.2058583,2023-12-16T11:11:40.199796
12,M/s. Enviro Metals Recyclers Pvt.Ltd,enviro@@yahoo.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9865987789,Recycler,612,"S.No. 104 & 106 Ezhichur Village, Oragadam, Sriperumbudur Taluk, Kancheepuram Dist",Tamil Nadu,603204,https://maps.app.goo.gl/dgHaM2H8nJ5fTceV6,09:00,21:00,Yes,12.80781256,79.91161382,2023-12-16T11:11:40.199797
13,M/s. Gems Recycling (P) Ltd.,gems@yahoo.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9345855556,Recycler,613,"No.147/A, Neervallur Village, Opp. L&T Construction Skills Training Institute, Near Sriperumbudur, Kanchipuram",Tamil Nadu,631561,https://maps.app.goo.gl/NyZJcrXEpwx3XNRw7,09:00,21:00,No,12.87231503,79.79536565,2023-12-16T11:11:40.199798
14,"M/s. INAA Enterprises,",inaa@gmail.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9444446229,Recycler,614,"AC 31/24, THIRUMUDIVAKKAM,, SIDCO Industrial Estate, Guindy, Chennai",Tamil Nadu,600032,https://maps.app.goo.gl/7T2sTaXE5BLGK9en7,09:00,21:00,Yes,12.97708033,80.08628798,2023-12-16T11:11:40.199799
15,"M/s. World Scrap Stars Recycling Solutions Pvt.Ltd., ",world@yahoo.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9876543201,Recycler,615,"No.1, Flat B, 1st Floor, 44th St, Ashok Nagar, Chennai",Tamil Nadu,600083,https://maps.app.goo.gl/KNiddaSG32xYnrT48,09:00,21:00,No,13.03809079,80.21228995,2023-12-16T11:11:40.199800
16,"M/s. Victory Recovery & Recycle Technologies India Private 
Limited, ",vic@yahoo.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9887561230,Recycler,616,"Double Dragon Industrial Park, Kottaiyur, Kannur Village & PO, Thiruvallur Dist, Chennai",Tamil Nadu,602108,https://maps.app.goo.gl/6bBCq6HAhb2712Jz5,09:00,21:00,Yes,12.97505839,79.85363248,2023-12-16T11:11:40.199801
17,"M/s. Southern Alloys, ",south20@gmail.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,8988756342,Recycler,617,"149 GNT Road, Post, Ponniammanmedu, Chennai",Tamil Nadu,600110,https://maps.app.goo.gl/Ht6L7PN8vJu2o1KJ7,09:00,21:00,Yes,13.13566755,80.23436715,2023-12-16T11:11:40.199802
18,"M/s. Green India Recyclers, ",green@yahoo.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9003491034,Recycler,618,"S.F.NO. 26/1B, Kovilpalayam Road, Sulakkal Village, Kinathukadavu Taluk, Coimbatore",Tamil Nadu,642110,https://maps.app.goo.gl/Eu3agMkQcGvLB6vf8,09:00,21:00,No,10.74728388,76.99972171,2023-12-16T11:11:40.199803
19,M/s. Green Era Recyclers,era@gmail.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,8300223526,Recycler,619,"No 37, Sivanandha Industrial Complex, Dr. MS Udayamurthy Nagar, Thadagam Main Rd, Edayarpalayam, Coimbatore",Tamil Nadu,641025,https://maps.app.goo.gl/uFtYGuvym5wxbZgf7,09:00,21:00,Yes,11.05972768,76.91880007,2023-12-16T11:11:40.199804
20,M/s. S.P.P. Enterprises,spp@gmail.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,4429590944,Recycler,620,"No.160/6A, National Highway, Taluk, Mambakkam, Sriperumbudur",Tamil Nadu,602106,https://maps.app.goo.gl/TswsPRW7AYZTCrSe8,09:00,21:00,Yes,12.93710434,79.90324885,2023-12-16T11:11:40.199805
21,M/s. A.K Enterprises,ak@yahoo.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9443567892,Dismantler,621,"9157, LIG Park Rd, TNHB Colony, TNHB, Ayappakkam, Chennai",Tamil Nadu,600077,https://maps.app.goo.gl/iHggshJu4yNrF7d56,09:00,21:00,Yes,13.17589397,80.13926156,2023-12-16T11:11:40.199806
22,"M/s. TES-AMM (India) Pvt. Ltd.,",tes@mail.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,4445000353,Recycler,622,"SIPCOT Industrial Growth Centre, A-18, Tlk, Oragadam, Panruti, Sriperumbudur",Tamil Nadu,631604,https://maps.app.goo.gl/FNywnLE2orC1YL1p8,09:00,21:00,Yes,12.91735341,79.95522478,2023-12-16T11:11:40.199807
